식별자,스타일,서브스타일,상의_색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_핏
528550,로맨틱,,화이트,블라우스,반팔,우븐,플로럴,스위트하트,노멀,미디,,스커트,우븐,노멀
528957,로맨틱,,블랙,블라우스,반팔,우븐,플로럴,브이넥,노멀,발목,스카이블루,청바지,데님,벨보텀
528966,로맨틱,스트리트,베이지,블라우스,반팔,우븐,무지,라운드넥,노멀,미니,베이지,팬츠,우븐,노멀
528977,로맨틱,스트리트,화이트,블라우스,반팔,우븐,체크,스퀘어넥,노멀,미니,블루,스커트,데님,노멀
528989,로맨틱,,옐로우,블라우스,반팔,우븐,플로럴,라운드넥,노멀,,블루,,,
528996,로맨틱,스트리트,화이트,블라우스,7부소매,우븐,플로럴,오프숄더,루즈,미니,블랙,팬츠,우븐,노멀
529007,로맨틱,스트리트,블랙,블라우스,7부소매,우븐,무지,라운드넥,노멀,발목,스카이블루,청바지,데님,벨보텀
529056,로맨틱,,화이트,블라우스,반팔,우븐,무지,브이넥,노멀,,스카이블루,,,
529132,로맨틱,,화이트,블라우스,반팔,시폰,플로럴,브이넥,노멀,미디,스카이블루,청바지,데님,벨보텀
529143,로맨틱,,화이트,블라우스,반팔,우븐,무지,브이넥,노멀,미니,스카이블루,스커트,우븐,노멀
529172,로맨틱,,화이트,블라우스,반팔,우븐,무지,스퀘어넥,루즈,미니,블랙,스커트,우븐,노멀
529205,로맨틱,,옐로우,탑,민소매,우븐,무지,,루즈,,블루,,,
529261,로맨틱,스트리트,네이비,블라우스,긴팔,우븐,무지,라운드넥,루즈,미니,화이트,팬츠,우븐,노멀
529304,로맨틱,,퍼플,블라우스,반팔,우븐,플로럴,브이넥,노멀,발목,스카이블루,청바지,데님,노멀
529317,로맨틱,히피,화이트,블라우스,반팔,우븐,플로럴,오프숄더,노멀,미니,브라운,팬츠,린넨,노멀
529344,로맨틱,스트리트,화이트,블라우스,반팔,레이스,무지,스퀘어넥,루즈,미니,스카이블루,청바지,데님,노멀
529363,로맨틱,스트리트,블랙,블라우스,반팔,우븐,플로럴,오프숄더,타이트,발목,,청바지,데님,노멀
529439,로맨틱,소피스트케이티드,베이지,블라우스,반팔,우븐,도트,브이넥,노멀,미디,블랙,팬츠,우븐,노멀
529459,로맨틱,,베이지,블라우스,반팔,레이스,플로럴,스퀘어넥,노멀,발목,스카이블루,청바지,데님,노멀
529514,로맨틱,,화이트,블라우스,반팔,우븐,플로럴,오프숄더,노멀,미니,화이트,스커트,우븐,와이드
529543,로맨틱,스트리트,민트,블라우스,반팔,우븐,무지,,노멀,,화이트,,,
529563,로맨틱,,베이지,블라우스,반팔,우븐,플로럴,스위트하트,노멀,발목,스카이블루,청바지,데님,스키니
529576,로맨틱,,옐로우,블라우스,반팔,우븐,무지,스퀘어넥,타이트,미디,화이트,스커트,시폰,와이드
529604,로맨틱,리조트,블루,블라우스,긴팔,우븐,무지,스퀘어넥,루즈,맥시,베이지,팬츠,린넨,와이드
529620,로맨틱,,옐로우,블라우스,반팔,우븐,플로럴,라운드넥,노멀,발목,,청바지,데님,노멀
529637,로맨틱,스트리트,화이트,블라우스,반팔,우븐,스트라이프,오프숄더,노멀,니렝스,블루,팬츠,우븐,노멀
529664,로맨틱,,옐로우,블라우스,반팔,린넨,무지,브이넥,노멀,미디,브라운,스커트,우븐,노멀
529669,로맨틱,소피스트케이티드,화이트,블라우스,반팔,우븐,무지,라운드넥,루즈,니렝스,,스커트,우븐,스키니
529677,로맨틱,,화이트,,반팔,우븐,플로럴,스퀘어넥,루즈,발목,스카이블루,청바지,데님,노멀
529736,로맨틱,스트리트,베이지,블라우스,반팔,우븐,무지,스위트하트,타이트,발목,스카이블루,청바지,데님,노멀
529924,로맨틱,스트리트,핑크,블라우스,반팔,우븐,깅엄,유넥,노멀,미니,화이트,스커트,시폰,스키니
530087,로맨틱,스트리트,베이지,블라우스,긴팔,시폰,무지,라운드넥,노멀,발목,네이비,청바지,데님,와이드
530134,로맨틱,스트리트,핑크,블라우스,반팔,우븐,무지,유넥,노멀,발목,스카이블루,청바지,데님,노멀
530162,로맨틱,스트리트,화이트,블라우스,긴팔,린넨,무지,브이넥,노멀,발목,블루,청바지,데님,스키니
530186,로맨틱,리조트,베이지,블라우스,긴팔,시폰,무지,브이넥,노멀,미디,카키,스커트,우븐,노멀
530196,로맨틱,스트리트,실버,블라우스,긴팔,우븐,체크,,노멀,미니,베이지,스커트,우븐,노멀
530264,로맨틱,스트리트,블루,블라우스,긴팔,시폰,체크,브이넥,노멀,발목,,팬츠,우븐,노멀
530278,로맨틱,스트리트,민트,블라우스,긴팔,시폰,깅엄,,타이트,발목,블루,청바지,데님,벨보텀
530291,로맨틱,스트리트,화이트,블라우스,긴팔,시폰,그래픽,오프숄더,타이트,발목,블랙,팬츠,우븐,와이드
530351,로맨틱,스트리트,베이지,블라우스,7부소매,린넨,무지,라운드넥,노멀,발목,블랙,청바지,데님,노멀
530412,로맨틱,스트리트,블랙,블라우스,긴팔,우븐,깅엄,스퀘어넥,노멀,발목,블랙,팬츠,우븐,스키니
530425,로맨틱,스트리트,,블라우스,,우븐,무지,브이넥,노멀,발목,스카이블루,청바지,린넨,노멀
530481,로맨틱,페미닌,그레이,블라우스,긴팔,시폰,무지,스퀘어넥,노멀,,블랙,,,
530512,로맨틱,스트리트,브라운,블라우스,긴팔,시폰,플로럴,터틀넥,노멀,발목,스카이블루,청바지,데님,스키니
530527,로맨틱,리조트,베이지,블라우스,긴팔,우븐,무지,스퀘어넥,노멀,미디,브라운,스커트,우븐,와이드
53054,로맨틱,페미닌,베이지,니트웨어,긴팔,니트,무지,브이넥,노멀,발목,화이트,청바지,데님,스키니
530605,로맨틱,,화이트,블라우스,긴팔,"레이스, 우븐",플로럴,브이넥,노멀,발목,,청바지,데님,노멀
53062,로맨틱,페미닌,와인,니트웨어,긴팔,니트,무지,브이넥,노멀,발목,블루,청바지,데님,스키니
530620,로맨틱,,화이트,블라우스,긴팔,"우븐, 레이스",,,루즈,발목,블랙,스커트,우븐,노멀
530625,로맨틱,,화이트,블라우스,긴팔,"우븐, 레이스",,,루즈,발목,블랙,스커트,우븐,노멀
539945,로맨틱,스트리트,화이트,블라우스,7부소매,레이스,플로럴,라운드넥,루즈,발목,스카이블루,청바지,데님,노멀
540100,로맨틱,스트리트,핑크,티셔츠,긴팔,저지,스트라이프,라운드넥,루즈,미디,화이트,스커트,저지,루즈
540953,로맨틱,,화이트,탑,반팔,"시폰, 저지",도트,,노멀,,,팬츠,우븐,노멀
541232,로맨틱,,옐로우,티셔츠,반팔,저지,무지,라운드넥,루즈,미니,,스커트,시폰,노멀
541307,로맨틱,,화이트,티셔츠,반팔,"저지, 우븐",무지,라운드넥,노멀,미디,골드,스커트,우븐,노멀
541459,로맨틱,섹시,화이트,탑,반팔,레이스,무지,브이넥,타이트,미니,블랙,스커트,우븐,스키니
541678,로맨틱,,라벤더,티셔츠,7부소매,니트,무지,보트넥,노멀,,베이지,스커트,우븐,노멀
550883,로맨틱,스트리트,핑크,블라우스,7부소매,린넨,무지,라운드넥,루즈,발목,블랙,팬츠,우븐,스키니
550909,로맨틱,스트리트,옐로우,블라우스,7부소매,린넨,무지,라운드넥,루즈,발목,블랙,팬츠,우븐,스키니
570494,로맨틱,,화이트,블라우스,7부소매,우븐,,라운드넥,루즈,미니,네이비,스커트,우븐,노멀
570501,로맨틱,,화이트,블라우스,7부소매,우븐,,라운드넥,루즈,미니,화이트,스커트,우븐,노멀
573206,로맨틱,,화이트,블라우스,긴팔,,무지,라운드넥,노멀,발목,,팬츠,우븐,스키니
573447,로맨틱,스트리트,블랙,브라탑,긴팔,우븐,무지,브이넥,루즈,발목,그레이,팬츠,우븐,노멀
573786,로맨틱,스트리트,화이트,블라우스,긴팔,시폰,무지,,노멀,,블랙,,,
575279,로맨틱,톰보이,스카이블루,블라우스,7부소매,우븐,무지,,루즈,니렝스,네이비,팬츠,우븐,와이드
575346,로맨틱,모던,스카이블루,블라우스,반팔,우븐,무지,브이넥,루즈,발목,블랙,팬츠,우븐,스키니
575366,로맨틱,,블랙,블라우스,7부소매,,무지,라운드넥,루즈,미디,블루,팬츠,,와이드
578628,로맨틱,모던,네이비,블라우스,긴팔,우븐,플로럴,,노멀,발목,블랙,팬츠,우븐,와이드
57964,로맨틱,스트리트,베이지,블라우스,반팔,린넨,무지,브이넥,노멀,미니,블랙,스커트,우븐,노멀
58095,로맨틱,,라벤더,블라우스,반팔,저지,무지,브이넥,노멀,미니,화이트,스커트,우븐,노멀
590781,로맨틱,,네이비,블라우스,7부소매,시폰,도트,라운드넥,루즈,발목,블랙,팬츠,데님,스키니
593951,로맨틱,,화이트,블라우스,반팔,우븐,무지,라운드넥,루즈,발목,블루,청바지,데님,노멀
600360,로맨틱,프레피,베이지,니트웨어,긴팔,니트,무지,터틀넥,타이트,미니,카키,스커트,울/캐시미어,노멀
600923,로맨틱,스트리트,네이비,니트웨어,긴팔,니트,,라운드넥,루즈,발목,네이비,청바지,데님,노멀
601251,로맨틱,스트리트,핑크,탑,긴팔,울/캐시미어,무지,라운드넥,노멀,미니,블랙,스커트,우븐,노멀
604639,로맨틱,,화이트,니트웨어,긴팔,"헤어 니트, 레이스",,라운드넥,루즈,미니,블랙,스커트,저지,노멀
604953,로맨틱,모던,블랙,블라우스,긴팔,우븐,무지,브이넥,루즈,,베이지,,,
605000,로맨틱,스포티,핑크,티셔츠,긴팔,저지,무지,,노멀,미니,화이트,스커트,우븐,노멀
60741,로맨틱,소피스트케이티드,화이트,블라우스,긴팔,,,,노멀,맥시,,팬츠,우븐,와이드
608951,로맨틱,스트리트,핑크,니트웨어,긴팔,니트,스트라이프,라운드넥,노멀,,화이트,,,
60899,로맨틱,페미닌,레드,탑,긴팔,,무지,라운드넥,루즈,발목,블루,청바지,데님,와이드
609109,로맨틱,,화이트,탑,반팔,우븐,무지,스퀘어넥,노멀,미니,화이트,팬츠,우븐,노멀
60911,로맨틱,페미닌,레드,탑,긴팔,,무지,,루즈,발목,블루,청바지,데님,와이드
609111,로맨틱,,화이트,탑,반팔,우븐,무지,스퀘어넥,노멀,미니,화이트,팬츠,우븐,노멀
60934,로맨틱,페미닌,레드,탑,긴팔,,무지,라운드넥,루즈,발목,블루,청바지,데님,와이드
609786,로맨틱,,화이트,,반팔,,,,,발목,레드,스커트,우븐,루즈
61246,로맨틱,섹시,화이트,블라우스,긴팔,우븐,무지,,노멀,미니,브라운,스커트,울/캐시미어,노멀
61271,로맨틱,스트리트,라벤더,블라우스,7부소매,우븐,무지,,루즈,발목,스카이블루,청바지,데님,스키니
614059,로맨틱,페미닌,스카이블루,탑,긴팔,니트,무지,스위트하트,노멀,,화이트,,,
614062,로맨틱,페미닌,스카이블루,탑,긴팔,니트,무지,스위트하트,타이트,발목,화이트,팬츠,우븐,노멀
614063,로맨틱,페미닌,스카이블루,탑,긴팔,"니트, 레이스",무지,,타이트,,화이트,,,
614390,로맨틱,소피스트케이티드,핑크,니트웨어,반팔,니트,무지,브이넥,노멀,발목,화이트,팬츠,우븐,벨보텀
614463,로맨틱,,핑크,블라우스,반팔,우븐,무지,브이넥,노멀,발목,블루,청바지,데님,노멀
614541,로맨틱,,베이지,블라우스,반팔,시폰,무지,스퀘어넥,루즈,미디,베이지,스커트,시폰,와이드
614573,로맨틱,,핑크,블라우스,반팔,시폰,무지,유넥,노멀,발목,화이트,팬츠,우븐,노멀
614637,로맨틱,스트리트,핑크,블라우스,반팔,우븐,무지,라운드넥,노멀,발목,스카이블루,청바지,데님,스키니
614645,로맨틱,스트리트,베이지,블라우스,7부소매,시폰,플로럴,브이넥,루즈,미니,,청바지,데님,루즈
614702,로맨틱,,화이트,블라우스,반팔,우븐,무지,라운드넥,노멀,맥시,골드,스커트,우븐,와이드
614732,로맨틱,스트리트,블랙,블라우스,반팔,우븐,플로럴,,노멀,미니,블루,청바지,데님,노멀
614746,로맨틱,,화이트,블라우스,민소매,시폰,무지,브이넥,노멀,발목,베이지,팬츠,우븐,루즈
614756,로맨틱,,골드,블라우스,반팔,우븐,무지,브이넥,노멀,발목,블루,청바지,데님,스키니
614770,로맨틱,,블랙,블라우스,7부소매,우븐,무지,스퀘어넥,오버사이즈,미니,,청바지,데님,노멀
614796,로맨틱,스트리트,베이지,블라우스,반팔,시폰,무지,라운드넥,루즈,발목,,청바지,데님,스키니
614908,로맨틱,,스카이블루,블라우스,반팔,우븐,무지,브이넥,루즈,미니,화이트,팬츠,우븐,스키니
614932,로맨틱,,화이트,블라우스,반팔,,무지,라운드넥,노멀,미디,화이트,스커트,우븐,와이드
614949,로맨틱,스트리트,베이지,블라우스,반팔,린넨,무지,,노멀,발목,스카이블루,청바지,데님,스키니
61499,로맨틱,,레드,블라우스,캡,우븐,체크,브이넥,루즈,발목,화이트,팬츠,데님,노멀
615008,로맨틱,페미닌,브라운,블라우스,반팔,린넨,무지,브이넥,노멀,미니,,스커트,우븐,노멀
61501,로맨틱,,레드,블라우스,캡,우븐,체크,,루즈,발목,화이트,팬츠,우븐,노멀
615012,로맨틱,페미닌,브라운,블라우스,반팔,린넨,무지,브이넥,노멀,미니,화이트,스커트,우븐,노멀
615064,로맨틱,리조트,핑크,블라우스,반팔,우븐,무지,,노멀,발목,화이트,팬츠,린넨,노멀
615178,로맨틱,스트리트,화이트,탑,민소매,우븐,플로럴,스퀘어넥,노멀,발목,베이지,팬츠,우븐,벨보텀
615243,로맨틱,스트리트,블랙,블라우스,반팔,우븐,플로럴,,노멀,미니,화이트,팬츠,우븐,노멀
615296,로맨틱,페미닌,,블라우스,,린넨,무지,오프숄더,노멀,발목,,청바지,데님,벨보텀
615359,로맨틱,스트리트,핑크,블라우스,반팔,린넨,무지,브이넥,노멀,,화이트,,,
615365,로맨틱,스트리트,핑크,블라우스,7부소매,린넨,무지,브이넥,노멀,,화이트,,,
615375,로맨틱,스트리트,퍼플,블라우스,반팔,시폰,무지,라운드넥,노멀,미디,화이트,스커트,우븐,노멀
615410,로맨틱,스트리트,옐로우,블라우스,반팔,시폰,무지,,노멀,,스카이블루,,,
616383,로맨틱,리조트,브라운,탑,긴팔,저지,무지,유넥,루즈,미디,화이트,스커트,우븐,노멀
616420,로맨틱,,카키,블라우스,긴팔,우븐,체크,라운드넥,노멀,미니,화이트,팬츠,우븐,노멀
617565,로맨틱,스트리트,화이트,블라우스,7부소매,우븐,무지,라운드넥,노멀,발목,스카이블루,청바지,데님,노멀
618347,로맨틱,,화이트,블라우스,7부소매,우븐,무지,,노멀,미니,베이지,스커트,우븐,노멀
618439,로맨틱,스트리트,스카이블루,블라우스,긴팔,우븐,무지,브이넥,노멀,,,팬츠,,
619043,로맨틱,,핑크,탑,긴팔,"레이스, 저지",,라운드넥,루즈,발목,베이지,팬츠,우븐,루즈
619236,로맨틱,,베이지,니트웨어,긴팔,니트,무지,터틀넥,노멀,미니,,스커트,우븐,노멀
620525,로맨틱,스트리트,블랙,셔츠,긴팔,우븐,스트라이프,,노멀,발목,,팬츠,우븐,스키니
624373,로맨틱,스트리트,화이트,블라우스,반팔,우븐,무지,라운드넥,노멀,미디,블랙,스커트,우븐,노멀
626559,로맨틱,,베이지,블라우스,반팔,우븐,플로럴,스퀘어넥,노멀,미니,화이트,스커트,우븐,노멀
626843,로맨틱,스트리트,블랙,블라우스,7부소매,"우븐, 레이스",,,노멀,발목,스카이블루,청바지,데님,노멀
626989,로맨틱,,블랙,티셔츠,반팔,저지,무지,라운드넥,노멀,미디,화이트,스커트,우븐,와이드
626990,로맨틱,,핑크,블라우스,반팔,우븐,무지,브이넥,노멀,발목,화이트,팬츠,데님,벨보텀
626994,로맨틱,,블랙,티셔츠,반팔,저지,무지,라운드넥,노멀,미디,화이트,스커트,우븐,와이드
626996,로맨틱,,라벤더,블라우스,반팔,우븐,무지,브이넥,노멀,발목,,팬츠,데님,벨보텀
626997,로맨틱,,블랙,티셔츠,반팔,저지,무지,라운드넥,노멀,미디,화이트,스커트,우븐,와이드
626998,로맨틱,,라벤더,블라우스,반팔,우븐,무지,브이넥,노멀,발목,,팬츠,데님,벨보텀
627007,로맨틱,,블랙,티셔츠,반팔,저지,무지,라운드넥,노멀,미디,화이트,스커트,우븐,와이드
627008,로맨틱,,핑크,블라우스,반팔,우븐,무지,브이넥,노멀,발목,화이트,팬츠,데님,벨보텀
627009,로맨틱,,블랙,티셔츠,반팔,저지,무지,라운드넥,노멀,미디,화이트,스커트,우븐,와이드
627017,로맨틱,,핑크,블라우스,반팔,우븐,무지,브이넥,노멀,발목,화이트,팬츠,데님,벨보텀
627024,로맨틱,,핑크,블라우스,반팔,우븐,무지,브이넥,노멀,발목,화이트,팬츠,데님,벨보텀
627026,로맨틱,,핑크,블라우스,반팔,우븐,무지,브이넥,노멀,발목,화이트,팬츠,데님,벨보텀
627029,로맨틱,,라벤더,블라우스,반팔,우븐,무지,브이넥,노멀,발목,화이트,팬츠,데님,벨보텀
627034,로맨틱,,라벤더,블라우스,반팔,우븐,무지,브이넥,노멀,,화이트,,,
627036,로맨틱,,라벤더,블라우스,반팔,우븐,무지,브이넥,노멀,발목,화이트,팬츠,데님,벨보텀
627039,로맨틱,,라벤더,블라우스,반팔,우븐,무지,브이넥,노멀,발목,화이트,팬츠,데님,벨보텀
627096,로맨틱,,블랙,티셔츠,반팔,저지,무지,라운드넥,노멀,미디,베이지,스커트,시폰,와이드
627118,로맨틱,,화이트,블라우스,7부소매,우븐,페이즐리,브이넥,노멀,,블루,,,
627119,로맨틱,,블랙,티셔츠,반팔,저지,무지,라운드넥,노멀,미디,베이지,스커트,시폰,와이드
627305,로맨틱,,블랙,티셔츠,반팔,저지,무지,라운드넥,노멀,미디,민트,스커트,시폰,와이드
627363,로맨틱,,네온,니트웨어,반팔,니트,무지,브이넥,노멀,발목,화이트,스커트,시폰,노멀
630033,로맨틱,스트리트,핑크,니트웨어,반팔,니트,무지,라운드넥,타이트,미디,,청바지,데님,노멀
636519,로맨틱,,베이지,블라우스,반팔,시폰,하트,브이넥,루즈,미디,레드,스커트,린넨,루즈
636767,로맨틱,,옐로우,블라우스,반팔,시폰,무지,스위트하트,루즈,미디,,스커트,우븐,노멀
636800,로맨틱,,옐로우,블라우스,반팔,시폰,무지,스위트하트,루즈,미디,옐로우,스커트,우븐,노멀
640318,로맨틱,스트리트,블랙,블라우스,반팔,우븐,체크,,노멀,발목,스카이블루,청바지,데님,노멀
640326,로맨틱,스트리트,화이트,블라우스,반팔,우븐,체크,,노멀,발목,스카이블루,청바지,데님,노멀
640336,로맨틱,스트리트,화이트,블라우스,반팔,우븐,체크,,노멀,발목,스카이블루,청바지,데님,노멀
640338,로맨틱,,스카이블루,탑,민소매,우븐,스트라이프,유넥,루즈,미니,스카이블루,팬츠,우븐,와이드
640342,로맨틱,,스카이블루,탑,민소매,우븐,스트라이프,유넥,루즈,미니,스카이블루,팬츠,우븐,와이드
640352,로맨틱,,스카이블루,탑,민소매,우븐,스트라이프,유넥,루즈,미니,,팬츠,우븐,와이드
642790,로맨틱,클래식,베이지,블라우스,긴팔,우븐,무지,브이넥,노멀,미디,카키,스커트,우븐,노멀
64441,로맨틱,페미닌,블랙,,긴팔,,,,,발목,그레이,스커트,우븐,노멀
64463,로맨틱,소피스트케이티드,핑크,블라우스,긴팔,우븐,무지,라운드넥,노멀,니렝스,,스커트,우븐,노멀
64464,로맨틱,소피스트케이티드,핑크,블라우스,긴팔,우븐,무지,라운드넥,노멀,니렝스,,스커트,우븐,노멀
64466,로맨틱,소피스트케이티드,핑크,블라우스,긴팔,우븐,무지,라운드넥,노멀,니렝스,,스커트,우븐,노멀
64467,로맨틱,소피스트케이티드,핑크,블라우스,긴팔,우븐,무지,라운드넥,노멀,니렝스,화이트,스커트,우븐,노멀
645397,로맨틱,,화이트,블라우스,긴팔,우븐,무지,라운드넥,노멀,미디,베이지,스커트,우븐,와이드
64547,로맨틱,소피스트케이티드,,블라우스,,우븐,무지,,노멀,니렝스,블랙,스커트,우븐,노멀
64551,로맨틱,소피스트케이티드,,블라우스,,우븐,무지,,노멀,니렝스,블랙,스커트,우븐,노멀
64554,로맨틱,소피스트케이티드,라벤더,블라우스,긴팔,우븐,무지,,노멀,니렝스,,스커트,우븐,노멀
64573,로맨틱,소피스트케이티드,핑크,블라우스,긴팔,시폰,플로럴,,노멀,니렝스,,스커트,우븐,스키니
645787,로맨틱,,브라운,탑,긴팔,우븐,무지,유넥,루즈,발목,화이트,스커트,우븐,루즈
64581,로맨틱,소피스트케이티드,핑크,블라우스,긴팔,시폰,플로럴,,노멀,니렝스,,스커트,우븐,스키니
64589,로맨틱,소피스트케이티드,,블라우스,,시폰,플로럴,,노멀,니렝스,블랙,스커트,우븐,스키니
64593,로맨틱,소피스트케이티드,핑크,블라우스,긴팔,시폰,플로럴,,노멀,니렝스,블랙,스커트,우븐,스키니
646007,로맨틱,,실버,블라우스,반팔,린넨,무지,스퀘어넥,노멀,미니,화이트,스커트,우븐,노멀
646158,로맨틱,소피스트케이티드,화이트,셔츠,7부소매,실크,무지,,노멀,발목,핑크,팬츠,우븐,노멀
646560,로맨틱,페미닌,화이트,블라우스,반팔,우븐,무지,라운드넥,루즈,미디,레드,스커트,우븐,루즈
646641,로맨틱,,블랙,티셔츠,반팔,우븐,무지,라운드넥,노멀,미디,라벤더,스커트,우븐,노멀
646649,로맨틱,,블랙,티셔츠,반팔,우븐,무지,라운드넥,노멀,미디,라벤더,스커트,우븐,노멀
647268,로맨틱,섹시,화이트,블라우스,반팔,우븐,무지,오프숄더,노멀,미니,블루,청바지,데님,스키니
64750,로맨틱,소피스트케이티드,화이트,블라우스,긴팔,우븐,무지,라운드넥,노멀,,핑크,스커트,우븐,노멀
647553,로맨틱,스트리트,민트,블라우스,반팔,우븐,무지,라운드넥,루즈,발목,화이트,팬츠,우븐,노멀
64756,로맨틱,소피스트케이티드,화이트,블라우스,긴팔,우븐,무지,라운드넥,노멀,니렝스,핑크,스커트,우븐,노멀
647560,로맨틱,스트리트,민트,블라우스,반팔,우븐,무지,라운드넥,루즈,발목,화이트,팬츠,우븐,노멀
64757,로맨틱,소피스트케이티드,화이트,블라우스,긴팔,우븐,무지,라운드넥,노멀,니렝스,핑크,스커트,우븐,노멀
647574,로맨틱,스트리트,민트,블라우스,반팔,우븐,무지,라운드넥,루즈,발목,화이트,팬츠,우븐,노멀
64760,로맨틱,소피스트케이티드,화이트,블라우스,긴팔,우븐,무지,라운드넥,노멀,,핑크,스커트,우븐,노멀
647651,로맨틱,,핑크,블라우스,반팔,시폰,무지,라운드넥,노멀,,,청바지,데님,스키니
647876,로맨틱,리조트,화이트,탑,민소매,우븐,무지,오프숄더,타이트,미디,블루,스커트,우븐,와이드
647904,로맨틱,스트리트,실버,탑,반팔,저지,무지,라운드넥,타이트,발목,화이트,청바지,데님,노멀
648098,로맨틱,스트리트,핑크,블라우스,긴팔,시폰,플로럴,스퀘어넥,타이트,미디,화이트,스커트,우븐,노멀
648261,로맨틱,페미닌,화이트,블라우스,7부소매,우븐,무지,라운드넥,노멀,미디,퍼플,스커트,우븐,노멀
64827,로맨틱,소피스트케이티드,핑크,블라우스,긴팔,시폰,플로럴,,노멀,니렝스,화이트,스커트,우븐,노멀
648770,로맨틱,,화이트,블라우스,반팔,우븐,플로럴,스퀘어넥,루즈,미디,화이트,스커트,우븐,노멀
654859,로맨틱,스트리트,베이지,블라우스,긴팔,우븐,무지,,노멀,발목,그레이,청바지,데님,노멀
655069,로맨틱,스트리트,베이지,블라우스,긴팔,우븐,무지,브이넥,노멀,미니,그레이,스커트,우븐,노멀
65538,로맨틱,스트리트,화이트,블라우스,긴팔,우븐,무지,라운드넥,노멀,발목,,청바지,데님,노멀
662878,로맨틱,스트리트,민트,블라우스,긴팔,우븐,무지,라운드넥,노멀,발목,네이비,청바지,데님,스키니
662979,로맨틱,스트리트,그린,블라우스,7부소매,우븐,체크,,루즈,발목,화이트,팬츠,우븐,노멀
663748,로맨틱,스트리트,옐로우,블라우스,긴팔,우븐,무지,스퀘어넥,노멀,발목,블루,청바지,데님,스키니
66714,로맨틱,스트리트,화이트,탑,캡,우븐,무지,라운드넥,노멀,발목,스카이블루,청바지,데님,스키니
669448,로맨틱,스트리트,스카이블루,니트웨어,긴팔,니트,플로럴,라운드넥,노멀,,블랙,,,
670478,로맨틱,,와인,블라우스,7부소매,우븐,무지,브이넥,노멀,미니,블랙,스커트,우븐,노멀
67421,로맨틱,,브라운,블라우스,긴팔,우븐,무지,,노멀,미디,블랙,스커트,가죽,노멀
675352,로맨틱,스트리트,화이트,블라우스,반팔,우븐,플로럴,브이넥,루즈,발목,스카이블루,청바지,데님,노멀
675568,로맨틱,스트리트,베이지,블라우스,캡,시폰,체크,라운드넥,노멀,발목,블루,청바지,데님,벨보텀
676052,로맨틱,모던,화이트,티셔츠,긴팔,레이스,무지,,노멀,미니,블랙,스커트,우븐,노멀
67710,로맨틱,페미닌,화이트,블라우스,긴팔,우븐,무지,라운드넥,노멀,,베이지,,,
677838,로맨틱,,화이트,블라우스,반팔,우븐,무지,유넥,노멀,미니,오렌지,스커트,우븐,노멀
677852,로맨틱,,화이트,블라우스,반팔,우븐,무지,유넥,노멀,미니,오렌지,스커트,우븐,노멀
679445,로맨틱,스트리트,화이트,티셔츠,반팔,저지,레터링,라운드넥,루즈,발목,화이트,스커트,우븐,노멀
680071,로맨틱,페미닌,네이비,니트웨어,반팔,니트,무지,라운드넥,노멀,미디,화이트,스커트,시폰,노멀
68148,로맨틱,스트리트,블랙,티셔츠,긴팔,저지,"그래픽, 레터링",라운드넥,노멀,미디,화이트,스커트,레이스,노멀
682227,로맨틱,스트리트,라벤더,블라우스,반팔,시폰,체크,,노멀,미니,스카이블루,청바지,데님,스키니
68426,로맨틱,,화이트,블라우스,7부소매,우븐,무지,노카라,노멀,,스카이블루,,,
686236,로맨틱,스트리트,옐로우,블라우스,긴팔,우븐,체크,라운드넥,루즈,,블루,청바지,데님,노멀
686280,로맨틱,모던,화이트,니트웨어,긴팔,헤어 니트,무지,라운드넥,노멀,미니,그레이,스커트,울/캐시미어,루즈
686504,로맨틱,클래식,베이지,니트웨어,긴팔,"니트, 레이스",무지,터틀넥,타이트,맥시,브라운,팬츠,우븐,와이드
686729,로맨틱,모던,핑크,블라우스,긴팔,레이스,플로럴,라운드넥,노멀,발목,그레이,팬츠,우븐,노멀
687343,로맨틱,,화이트,블라우스,긴팔,레이스,무지,터틀넥,,미니,핑크,스커트,트위드,노멀
688499,로맨틱,모던,핑크,니트웨어,긴팔,니트,무지,라운드넥,노멀,발목,네이비,팬츠,우븐,벨보텀
689319,로맨틱,페미닌,와인,블라우스,긴팔,우븐,무지,터틀넥,노멀,미니,베이지,스커트,우븐,노멀
690207,로맨틱,페미닌,화이트,블라우스,7부소매,"레이스, 실크",무지,스위트하트,루즈,,블루,,,
690601,로맨틱,스트리트,네이비,블라우스,반팔,시폰,플로럴,유넥,노멀,미니,화이트,팬츠,우븐,노멀
690611,로맨틱,스트리트,네이비,블라우스,반팔,시폰,플로럴,유넥,노멀,미니,화이트,팬츠,우븐,노멀
690665,로맨틱,리조트,블랙,탑,민소매,실크,,스퀘어넥,노멀,발목,레드,스커트,시폰,
690672,로맨틱,리조트,블랙,탑,민소매,실크,,스퀘어넥,노멀,발목,레드,스커트,시폰,
690684,로맨틱,페미닌,화이트,블라우스,7부소매,린넨,,오프숄더,노멀,미디,라벤더,스커트,"린넨, 우븐",노멀
690692,로맨틱,페미닌,화이트,블라우스,7부소매,린넨,,오프숄더,노멀,미디,라벤더,스커트,"린넨, 우븐",노멀
